rank,peak,all_time_peak,actual gross,adjusted gross_(in_2022_dollars),artist,tour_title,year(s),shows,average_gross,ref.
1,1,2,"$780,000,000","$780,000,000",taylor swift,the eras tour †,2023–2024,56,"$13,928,571",[1]
2,1,7[2],"$579,800,000","$579,800,000",beyoncé,renaissance world tour,2023,56,"$10,353,571",[3]
3,1[4],2[5],"$411,000,000","$560,622,615",madonna,sticky & sweet tour ‡[4][a],2008–2009,85,"$4,835,294",[6]
4,2[7],10[7],"$397,300,000","$454,751,555",pink,beautiful trauma world tour,2018–2019,156,"$2,546,795",[7]
5,2[4],nan,"$345,675,146","$402,844,849",taylor swift,reputation stadium tour,2018,53,"$6,522,173",[8]
6,2[4],10[9],"$305,158,363","$388,978,496",madonna,the mdna tour,2012,88,"$3,467,709",[9]
7,2[10],nan,"$280,000,000","$381,932,682",celine dion,taking chances world tour,2008–2009,131,"$2,137,405",[11]
7,nan,nan,"$257,600,000","$257,600,000",pink,summer carnival †,2023–2024,41,"$6,282,927",[12]
9,nan,nan,"$256,084,556","$312,258,401",beyoncé,the formation world tour,2016,49,"$5,226,215",[13]
10,nan,nan,"$250,400,000","$309,141,878",taylor swift,the 1989 world tour,2015,85,"$2,945,882",[14]
11,nan,nan,"$229,100,000[b]","$283,202,896",beyoncé,the mrs. carter show world tour,2013–2014,132,"$1,735,606",[15][16]
12,nan,14[17],"$227,400,000","$295,301,479",lady gaga,the monster ball tour *,2009–2011,203,"$1,118,227",[18]
13,nan,nan,"$204,000,000","$251,856,802",katy perry,prismatic world tour,2014–2015,151,"$1,350,993",[19]
14,1[20],nan,"$200,000,000","$299,676,265",cher,living proof: the farewell tour ‡[21][a],2002–2005,325,"$615,385",[20]
15,2[c],nan,"$194,000,000","$281,617,035",madonna,confessions tour,2006,60,"$3,233,333",[5]
16,nan,nan,"$184,000,000","$227,452,347",pink,the truth about love tour,2013–2014,142,"$1,295,775",[22]
17,nan,nan,"$170,000,000","$213,568,571",lady gaga,born this way ball,2012–2013,98,"$1,734,694",[d]
18,nan,nan,"$169,800,000","$207,046,755",madonna,rebel heart tour,2015–2016,82,"$2,070,732",[4]
19,nan,nan,"$167,700,000[e]","$204,486,106",adele,adele live 2016,2016–2017,121,"$1,385,950",[25]
20,nan,nan,"$150,000,000","$185,423,109",taylor swift,the red tour,2013–2014,86,"$1,744,186",[26]
